id,model,manufacturer,production_year,price_per_minute
0,golf,volkswagen,2010,9.08282954453397
1,insignia,opel,2006,5.334909079920365
2,golf,volkswagen,2000,1.3846464277130066
3,duster,renault,2013,7.856821723578705
4,insignia,opel,2002,4.8963764994060135
5,astra,opel,2002,8.729226367668447
6,megan,renault,2015,6.330654626263472
7,golf,volkswagen,2002,0.06348952434460875
8,duster,renault,2010,0.06702719687737169
9,passat,volkswagen,2010,8.94095715643004
10,astra,opel,2017,9.945692808537741
11,astra,opel,2020,1.3858192832424276
12,insignia,opel,2020,8.180807981437754
13,rav-4,toyota,2002,2.1853187894026496
14,astra,opel,2005,7.257516293547425
15,rav-4,toyota,2001,1.9305068952435966
16,tiguan,volkswagen,2016,2.4632060651491705
17,insignia,opel,2018,9.46573707123739
18,golf,volkswagen,2008,0.33300965478893496
19,passat,volkswagen,2005,2.021632785228827
